#options: 1920x886 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=7800 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=8000 vbv_bufsize=16000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:20.89 aq:10.51 tex:48855 mv:629 misc:6732 imb:6720 pmb:0 smb:0 d:- ref:;
in:109 out:110 type:b dur:2 cpbdur:2 q:6.67 aq:3.69 tex:267198 mv:16035 misc:2271 imb:148 pmb:1082 smb:5490 d:- ref:0 ;
in:114 out:111 type:P dur:2 cpbdur:2 q:6.90 aq:2.12 tex:657660 mv:21030 misc:1870 imb:2899 pmb:474 smb:3347 d:- ref:0 ;
in:112 out:112 type:B dur:2 cpbdur:2 q:6.94 aq:3.04 tex:418188 mv:20539 misc:3097 imb:174 pmb:1399 smb:5147 d:- ref:0 ;
in:111 out:113 type:b dur:2 cpbdur:2 q:6.94 aq:3.97 tex:280667 mv:18520 misc:2597 imb:63 pmb:1393 smb:5264 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:6.94 aq:4.16 tex:309974 mv:19859 misc:2703 imb:115 pmb:1420 smb:5185 d:- ref:0 ;
in:117 out:115 type:P dur:2 cpbdur:2 q:7.08 aq:1.70 tex:686170 mv:23177 misc:1797 imb:3521 pmb:668 smb:2531 d:- ref:0 ;
in:115 out:116 type:B dur:2 cpbdur:2 q:7.08 aq:4.17 tex:392062 mv:21831 misc:2835 imb:181 pmb:1522 smb:5017 d:- ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:7.08 aq:4.56 tex:399566 mv:22532 misc:2766 imb:205 pmb:1535 smb:4980 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:7.25 aq:1.68 tex:417538 mv:15691 misc:1811 imb:2575 pmb:892 smb:3253 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:7.48 aq:1.36 tex:366956 mv:13829 misc:1551 imb:3771 pmb:804 smb:2145 d:- ref:0 ;
in:121 out:120 type:P dur:2 cpbdur:2 q:7.45 aq:1.83 tex:488047 mv:15014 misc:1755 imb:2120 pmb:720 smb:3880 d:- ref:0 ;
in:120 out:121 type:b dur:2 cpbdur:2 q:7.57 aq:5.57 tex:246173 mv:15556 misc:2047 imb:173 pmb:1010 smb:5537 d:- ref:0 ;
in:123 out:122 type:P dur:2 cpbdur:2 q:7.56 aq:3.30 tex:525477 mv:13668 misc:1575 imb:1577 pmb:798 smb:4345 d:- ref:0 ;
in:122 out:123 type:b dur:2 cpbdur:2 q:7.56 aq:5.78 tex:208596 mv:15363 misc:2009 imb:142 pmb:1083 smb:5495 d:- ref:0 ;
in:125 out:124 type:P dur:2 cpbdur:2 q:7.62 aq:1.98 tex:560358 mv:15005 misc:1581 imb:2166 pmb:797 smb:3757 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:7.65 aq:6.14 tex:232800 mv:15309 misc:1955 imb:102 pmb:1144 smb:5474 d:- ref:0 ;
in:129 out:126 type:P dur:2 cpbdur:2 q:7.67 aq:1.96 tex:567451 mv:15493 misc:1504 imb:2643 pmb:682 smb:3395 d:- ref:0 ;
in:127 out:127 type:B dur:2 cpbdur:2 q:7.82 aq:5.01 tex:305663 mv:16562 misc:1959 imb:132 pmb:1152 smb:5436 d:- ref:0 ;
in:126 out:128 type:b dur:2 cpbdur:2 q:7.89 aq:6.01 tex:182076 mv:14283 misc:1969 imb:71 pmb:1180 smb:5469 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:7.82 aq:6.54 tex:265824 mv:14600 misc:1888 imb:116 pmb:1098 smb:5506 d:- ref:0 ;
